artifact_id,lot,source_sheet,material_code,artifact_group,artifact_category,artifact_type,material,count,photo_ids,description_fields,lot_norm,context_id,context_type,context_source,confidence,TU,Level,STP,Note,Provenience,Recovery Method
21-018br1,21-018,Bricks,br,Structural,Architectural,,,13,[],"{'Artifact #': '21-018br1', 'Lot #': '21-018', 'Material Code': 'br', 'Specimen ID': '1', 'Recorder Initials': 'AMD', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Red', 'Texture': 'Hard', 'Count': '13'}",21-018,TU1-L1,TU,lot_TU_Level,structured,1.0,1.0,,,"OP 1, TU-1, L1",Excavation
21-018br2,21-018,Bricks,br,Structural,Architectural,,,6,[],"{'Artifact #': '21-018br2', 'Lot #': '21-018', 'Material Code': 'br', 'Specimen ID': '2', 'Recorder Initials': 'AMD', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Orange', 'Texture': 'Soft', 'Count': '6'}",21-018,TU1-L1,TU,lot_TU_Level,structured,1.0,1.0,,,"OP 1, TU-1, L1",Excavation
21-026br1,21-026,Bricks,br,Structural,Architectural,,,1,[],"{'Artifact #': '21-026br1', 'Lot #': '21-026', 'Material Code': 'br', 'Specimen ID': '1', 'Recorder Initials': 'AMD', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Red', 'Texture': 'Hard', 'Count': '1'}",21-026,TU5-L1,TU,lot_TU_Level,structured,5.0,1.0,,,"OP 1, TU-5, L1",Excavation
21-028br1,21-028,Bricks,br,Structural,Architectural,,,4,[],"{'Artifact #': '21-028br1', 'Lot #': '21-028', 'Material Code': 'br', 'Specimen ID': '1', 'Recorder Initials': 'AMD', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Red', 'Texture': 'Hard', 'Count': '4'}",21-028,TU6-L1,TU,lot_TU_Level,structured,6.0,1.0,,,"OP 1, TU-6, L1",Excavation
21-031br10,21-031,Bricks,br,Structural,Architectural,,,20,[],"{'Artifact #': '21-031br10', 'Lot #': '21-031', 'Material Code': 'br', 'Specimen ID': '10', 'Recorder Initials': 'SB', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'grey', 'Texture': 'Hard', 'Count': '20'}",21-031,TU8-L1,TU,lot_TU_Level,structured,8.0,1.0,,,"OP 1, TU-8, L1",Excavation
21-031br11,21-031,Bricks,br,Structural,Architectural,,,2,[],"{'Artifact #': '21-031br11', 'Lot #': '21-031', 'Material Code': 'br', 'Specimen ID': '11', 'Recorder Initials': 'SB', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Orange', 'Texture': 'Hard', 'Count': '2'}",21-031,TU8-L1,TU,lot_TU_Level,structured,8.0,1.0,,,"OP 1, TU-8, L1",Excavation
21-024br7,21-024,Bricks,br,Structural,Architectural,,,43,[],"{'Artifact #': '21-024br7', 'Lot #': '21-024', 'Material Code': 'br', 'Specimen ID': '7', 'Recorder Initials': 'KJ', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Red', 'Texture': 'Hard', 'Count': '43'}",21-024,TU4-L1,TU,lot_TU_Level,structured,4.0,1.0,,,"OP 1, TU-4, L1",Excavation
21-032br8,21-032,Bricks,br,Structural,Architectural,,,1,[],"{'Artifact #': '21-032br8', 'Lot #': '21-032', 'Material Code': 'br', 'Specimen ID': '8', 'Recorder Initials': 'SB', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'grey', 'Texture': 'Hard', 'Count': '1'}",21-032,TU9-L1,TU,lot_TU_Level,structured,9.0,1.0,,,"OP 1, TU-9, L1",Excavation
21-144br5,21-144,Bricks,br,Structural,Architectural,,,1,[],"{'Artifact #': '21-144br5', 'Lot #': '21-144', 'Material Code': 'br', 'Specimen ID': '5', 'Recorder Initials': 'KJ', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Red', 'Texture': 'Soft', 'Count': '1'}",21-144,TU10-L1,TU,lot_TU_Level,structured,10.0,1.0,,,"TU-10, L1",Excavation
21-143br8,21-143,Bricks,br,Structural,Architectural,,,1,[],"{'Artifact #': '21-143br8', 'Lot #': '21-143', 'Material Code': 'br', 'Specimen ID': '8', 'Recorder Initials': 'KJ', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Orange', 'Texture': 'Hard', 'Count': '1'}",21-143,TU7-L1,TU,lot_TU_Level,structured,7.0,1.0,,,"TU-7, L1",Excavation
21-018br3,21-018,Bricks,br,Structural,Architectural,,,2,[],"{'Artifact #': '21-018br3', 'Lot #': '21-018', 'Material Code': 'br', 'Specimen ID': '3', 'Recorder Initials': 'AMD', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Orange', 'Texture': 'Hard', 'Condition': 'With Mortar', 'Count': '2'}",21-018,TU1-L1,TU,lot_TU_Level,structured,1.0,1.0,,,"OP 1, TU-1, L1",Excavation
21-019br1,21-019,Bricks,br,Structural,Architectural,,,5,[],"{'Artifact #': '21-019br1', 'Lot #': '21-019', 'Material Code': 'br', 'Specimen ID': '1', 'Recorder Initials': 'SB', 'Artifact Group': 'Structural', 'Artifact Category': 'Architectural', 'Color': 'Orange', 'Texture': 'Hard', 'Count': '5'}",21-019,TU1-L2,TU,lot_TU_Level,structured,1.0,2.0,,,"OP 1, TU-1, L2",Excavation
