Lot #,Note,Date,Excavators,Year,Operation,TU,Level,STP,Feature,Recovery Method,Provenience,Extended Note,lot_norm,context_id,context_type,context_source,confidence
21-001,,6/8/2021,"GC, TNS",2021.0,1,,,1.0,,Shovel Test Pit,"OP 1, STP1",,21-001,STP1,STP,lot_STP,structured
21-002,,6/8/2021,"BO, MEC",2021.0,1,,,2.0,,Shovel Test Pit,"OP 1, STP2",,21-002,STP2,STP,lot_STP,structured
21-003,,6/8/2021,"GC, TNS",2021.0,1,,,3.0,,Shovel Test Pit,"OP 1, STP3",,21-003,STP3,STP,lot_STP,structured
21-004,,6/8/2021,"BO, MEC",2021.0,1,,,4.0,,Shovel Test Pit,"OP 1, STP4",,21-004,STP4,STP,lot_STP,structured
21-005,,6/9/2021,"GC, TNS",2021.0,1,,,5.0,,Shovel Test Pit,"OP 1, STP5",,21-005,STP5,STP,lot_STP,structured
21-006,,6/9/2021,"GC, TNS",2021.0,1,,,6.0,,Shovel Test Pit,"OP 1, STP6",,21-006,STP6,STP,lot_STP,structured
21-007,,6/9/2021,"GC, TNS",2021.0,1,,,7.0,,Shovel Test Pit,"OP 1, STP7",,21-007,STP7,STP,lot_STP,structured
21-008,,6/9/2021,"GC, MEC, TNS",2021.0,1,,,8.0,,Shovel Test Pit,"OP 1, STP8",Box 40,21-008,STP8,STP,lot_STP,structured
21-009,,6/9/2021,"GC, MEC, TNS",2021.0,1,,,9.0,,Shovel Test Pit,"OP 1, STP9",,21-009,STP9,STP,lot_STP,structured
21-010,,6/9/2021,"GC, MEC, TNS",2021.0,1,,,10.0,,Shovel Test Pit,"OP 1, STP10",,21-010,STP10,STP,lot_STP,structured
21-011,,6/10/2021,"GC, MEC, TNS",2021.0,1,,,11.0,,Shovel Test Pit,"OP 1, STP11",,21-011,STP11,STP,lot_STP,structured
21-012,,6/10/2021,"JMM, TNS",2021.0,1,,,12.0,,Shovel Test Pit,"OP 1, STP12",,21-012,STP12,STP,lot_STP,structured
21-013,,6/23/2021,"EC, LR, TNS",2021.0,1,,,13.0,,Shovel Test Pit,"OP 1, STP13",,21-013,STP13,STP,lot_STP,structured
21-014,,6/24/2021,TNS,2021.0,1,,,14.0,,Shovel Test Pit,"OP 1, STP14",,21-014,STP14,STP,lot_STP,structured
