photo_log_row,context_id,context_source,photo_raw,photo_ids,photo_count,TU_col_D,Level_col_E
2,TU4-L1,TU_Level,EPAS2021 1-EPAS20213,EPAS2021 1; EPAS2021 2; EPAS2021 3,3,4,1
3,TU1-L3,TU_Level,EPAS2021 4-EPAS20215,EPAS2021 4; EPAS2021 5,2,1,3
4,STP5,STP_from_TU_column,EPAS2021 6-EPAS2021 8,EPAS2021 6; EPAS2021 7; EPAS2021 8,3,STP 5,STP 5
5,TU1-L1,TU_Level,EPAS2021 9- EPAS2021 11,EPAS2021 9; EPAS2021 10; EPAS2021 11,3,1,1
6,TU1-L1,TU_Level,EPAS2021 12-EPAS2021 13,EPAS2021 12; EPAS2021 13,2,1,1
7,TU1-L2,TU_Level,EPAS2021 14-EPAS2021 15,EPAS2021 14; EPAS2021 15,2,1,2
8,STP12,STP_from_TU_column,EPAS2021 16-EPAS2021 18,EPAS2021 16; EPAS2021 17; EPAS2021 18,3,STP 12,STP 12
9,TU1-L2,TU_Level,EPAS2021 19-EPAS2021 20,EPAS2021 19; EPAS2021 20,2,1,2
10,TU1-L2,TU_Level,EPAS2021 21-EPAS2021 23,EPAS2021 21; EPAS2021 22; EPAS2021 23,3,1,2
11,TU1-L2,TU_Level,EPAS2021 24-EPAS2021 25,EPAS2021 24; EPAS2021 25,2,1,2
12,TU1-L2,TU_Level,EPAS2021 26-EPAS2021 27,EPAS2021 26; EPAS2021 27,2,1,2
13,TU1-L2,TU_Level,EPAS2021 28-EPAS2021 29,EPAS2021 28; EPAS2021 29,2,1,2
14,TU1-L2,TU_Level,EPAS2021 30-EPAS2021 31,EPAS2021 30; EPAS2021 31,2,1,2
15,TU1-L2,TU_Level,EPAS2021 32-EPAS2021 33,EPAS2021 32; EPAS2021 33,2,1,2
16,TU1-L2,TU_Level,EPAS2021 34-EPAS2021 35,EPAS2021 34; EPAS2021 35,2,1,2
17,TU1-L1,TU_Level,EPAS2021 36-EPAS2021 37,EPAS2021 36; EPAS2021 37,2,1,1
18,TU1-L1,TU_Level,EPAS2021 38-EPAS2021 39,EPAS2021 38; EPAS2021 39,2,1,1
19,TU1-L2,TU_Level,EPAS2021 40-EPAS2021 41,EPAS2021 40; EPAS2021 41,2,1,2
20,TU1-L2,TU_Level,EPAS2021 42-EPAS2021 43,EPAS2021 42; EPAS2021 43,2,1,2
21,TU1-L2,TU_Level,EPAS2021 44-EPAS2021 45,EPAS2021 44; EPAS2021 45,2,1,2
22,TU1-L2,TU_Level,EPAS2021 46-EPAS2021 47,EPAS2021 46; EPAS2021 47,2,1,2
23,TU1-L2,TU_Level,EPAS2021 48-EPAS2021 49,EPAS2021 48; EPAS2021 49,2,1,2
24,TU1-L2,TU_Level,EPAS2021 50-EPAS2021 51,EPAS2021 50; EPAS2021 51,2,1,2
25,TU1-L2,TU_Level,EPAS2021 52-EPAS2021 53,EPAS2021 52; EPAS2021 53,2,1,2
26,TU4-L1,TU_Level,EPAS2021 54-EPAS2021 56,EPAS2021 54; EPAS2021 55; EPAS2021 56,3,4,1
27,TU4-L2,TU_Level,EPAS2021 57-EPAS2021 58,EPAS2021 57; EPAS2021 58,2,4,2
