source_index,bag_clean,corrected_code,spatialized,source_used,source_pattern,cabin_ref,row,confidence,parse_note
0,SFOP3C2R3,,True,bag_clean,original_other_spatial,2.0,3.0,precise,
1,SFOP3C2R3,,True,bag_clean,original_other_spatial,2.0,3.0,precise,
2,SFC7R3B3,,True,bag_clean,corrected_or_precise,7.0,3.0,precise,
3,SFC6R5B2,,True,bag_clean,corrected_or_precise,6.0,5.0,precise,
4,SFC6R5B2,,True,bag_clean,corrected_or_precise,6.0,5.0,precise,
5,SFC6R5B1,,True,bag_clean,corrected_or_precise,6.0,5.0,precise,
6,SFC11R6B9,,True,bag_clean,corrected_or_precise,11.0,6.0,precise,
7,SFC11R4B1,,True,bag_clean,corrected_or_precise,11.0,4.0,precise,
8,SFC7R3B1,,True,bag_clean,corrected_or_precise,7.0,3.0,precise,
9,SFC7R3B1,,True,bag_clean,corrected_or_precise,7.0,3.0,precise,
10,SFC4R8B2,,True,bag_clean,corrected_or_precise,4.0,8.0,precise,
11,SFC9R5B1,,True,bag_clean,corrected_or_precise,9.0,5.0,precise,
12,SFC9R5B1,,True,bag_clean,corrected_or_precise,9.0,5.0,precise,
13,SFC2R3B1,,True,bag_clean,corrected_or_precise,2.0,3.0,precise,
14,SFC2R3B1,,True,bag_clean,corrected_or_precise,2.0,3.0,precise,
15,SFC9R3B1,,True,bag_clean,corrected_or_precise,9.0,3.0,precise,
16,SFC2R3B1,,True,bag_clean,corrected_or_precise,2.0,3.0,precise,
17,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
17,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
17,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
17,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
17,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
17,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
18,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
18,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
18,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
18,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
18,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
18,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
19,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
19,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
19,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
19,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
19,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
19,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
20,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
20,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
20,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
20,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
20,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
20,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
21,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
21,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
21,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
21,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
21,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
21,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
22,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
22,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
22,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
22,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
22,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
22,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
23,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
23,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
23,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
23,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
23,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
23,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
24,SFCA1-6R5,,True,bag_clean,original_composite_sfca,1.0,5.0,composite,
24,SFCA1-6R5,,True,bag_clean,original_composite_sfca,2.0,5.0,composite,
24,SFCA1-6R5,,True,bag_clean,original_composite_sfca,3.0,5.0,composite,
24,SFCA1-6R5,,True,bag_clean,original_composite_sfca,4.0,5.0,composite,
24,SFCA1-6R5,,True,bag_clean,original_composite_sfca,5.0,5.0,composite,
24,SFCA1-6R5,,True,bag_clean,original_composite_sfca,6.0,5.0,composite,
25,SFCA6-7R6,,True,bag_clean,original_composite_sfca,6.0,6.0,composite,
25,SFCA6-7R6,,True,bag_clean,original_composite_sfca,7.0,6.0,composite,
26,SFCA4R8B1,SFC4R8B1,True,corrected_code,corrected_or_precise,4.0,8.0,generalized,
27,SFCA5-7R1-2,SFC6R2,True,corrected_code,corrected_or_precise,6.0,2.0,generalized,
28,SFCA5-7R1-2,SFC6R2,True,corrected_code,corrected_or_precise,6.0,2.0,generalized,
29,SFCA5-7R1-2,SFC6R2,True,corrected_code,corrected_or_precise,6.0,2.0,generalized,
30,SFCA5-7R1-2,SFC6R2,True,corrected_code,corrected_or_precise,6.0,2.0,generalized,
31,SFC4R7,,True,bag_clean,corrected_or_precise,4.0,7.0,precise,
32,SFC7R2-3,,True,bag_clean,original_composite,7.0,2.0,composite,
32,SFC7R2-3,,True,bag_clean,original_composite,7.0,3.0,composite,
33,SFC7R2-3,,True,bag_clean,original_composite,7.0,2.0,composite,
33,SFC7R2-3,,True,bag_clean,original_composite,7.0,3.0,composite,
34,SFC7R2-3,,True,bag_clean,original_composite,7.0,2.0,composite,
34,SFC7R2-3,,True,bag_clean,original_composite,7.0,3.0,composite,
35,SFC7R2-3,,True,bag_clean,original_composite,7.0,2.0,composite,
35,SFC7R2-3,,True,bag_clean,original_composite,7.0,3.0,composite,
36,SFC2R2,,True,bag_clean,corrected_or_precise,2.0,2.0,precise,
37,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
37,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
37,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
37,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
38,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
38,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
38,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
38,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
39,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
39,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
39,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
39,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
40,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
40,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
40,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
40,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
41,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
41,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
41,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
41,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
42,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
42,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
42,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
42,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
43,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
43,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
43,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
43,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
44,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,1.0,composite,
44,SFC1-2R1-2,,True,bag_clean,original_composite,1.0,2.0,composite,
44,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,1.0,composite,
44,SFC1-2R1-2,,True,bag_clean,original_composite,2.0,2.0,composite,
45,SFC2+4R3,,True,bag_clean,original_composite,2.0,3.0,composite,
45,SFC2+4R3,,True,bag_clean,original_composite,4.0,3.0,composite,
46,SFC2+4R3,,True,bag_clean,original_composite,2.0,3.0,composite,
46,SFC2+4R3,,True,bag_clean,original_composite,4.0,3.0,composite,
47,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
47,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
47,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
47,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
47,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
47,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
48,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
48,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
48,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
48,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
48,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
48,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
49,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
49,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
49,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
49,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
49,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
49,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
50,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
50,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
50,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
50,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
50,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
50,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
51,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
51,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
51,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
51,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
51,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
51,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
52,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
52,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
52,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
52,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
52,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
52,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
53,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
53,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
53,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
53,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
53,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
53,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
54,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
54,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
54,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
54,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
54,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
54,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
55,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
55,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
55,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
55,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
55,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
55,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
56,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
56,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
56,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
56,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
56,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
56,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
57,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
57,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
57,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
57,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
57,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
57,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
58,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
58,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
58,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
58,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
58,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
58,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
59,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
59,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
59,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
59,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
59,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
59,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
60,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,1.0,composite,
60,SFC5-7R1+2,,True,bag_clean,original_composite,5.0,2.0,composite,
60,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,1.0,composite,
60,SFC5-7R1+2,,True,bag_clean,original_composite,6.0,2.0,composite,
60,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,1.0,composite,
60,SFC5-7R1+2,,True,bag_clean,original_composite,7.0,2.0,composite,
61,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
61,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
61,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
62,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
62,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
62,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
63,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
63,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
63,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
64,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
64,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
64,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
65,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
65,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
65,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
66,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
66,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
66,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
67,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
67,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
67,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
68,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
68,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
68,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
69,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
69,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
69,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
70,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
70,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
70,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
71,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
71,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
71,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
72,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
72,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
72,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
73,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
73,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
73,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
74,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
74,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
74,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
75,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
75,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
75,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
76,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
76,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
76,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
77,SFC2-4R1,,True,bag_clean,original_composite,2.0,1.0,composite,
77,SFC2-4R1,,True,bag_clean,original_composite,3.0,1.0,composite,
77,SFC2-4R1,,True,bag_clean,original_composite,4.0,1.0,composite,
78,SFC1R1B1,,True,bag_clean,corrected_or_precise,1.0,1.0,precise,
79,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
80,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
81,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
82,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
83,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
84,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
85,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
86,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
87,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
88,SFOP3C1-2R2,SFC1.5R2B2,True,corrected_code,corrected_or_precise,1.5,2.0,generalized,
89,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
89,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
90,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
90,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
91,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
91,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
92,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
92,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
93,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
93,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
94,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
94,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
95,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
95,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
96,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
96,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
97,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
97,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
98,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
98,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
99,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
99,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
100,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
100,SFC2-3R5,,True,bag_clean,original_composite,3.0,5.0,composite,
101,SFC2-3R5,,True,bag_clean,original_composite,2.0,5.0,composite,
